Subsector,Sector,Public/private split,Organisation size,Tenure Status,Energy management ambition,Measure group,Subsector payback period (years),Subsector elec abatement (GWh/year),Subsector non-elec abatement (GWh/year),Type (automatic SAS variable - ignore),FREQ (automatic SAS variable - ignore),Elec abatement (kWh/year),Non-elec abatement (kWh/year),Capital cost (£)
Cafe,Hospitality,Private,DonTKnow,Owned,Passive,,.,.,.,0,1,.,., .
Cafe,Hospitality,Private,DonTKnow,Owned,Passive,Building fabric,21.3,5.5,5.5,0,2,0,173117.4791,"£1,197,405 "
Cafe,Hospitality,Private,DonTKnow,Owned,Passive,Building instrumentation and control,6.1,20.2,24,0,4,0,543546.2484,"£1,505,796 "
Cafe,Hospitality,Private,DonTKnow,Owned,Passive,Carbon and Energy Management,2.6,23.7,20.4,0,2,989704.0336,1012210.363,"£229,069 "
Cafe,Hospitality,Private,DonTKnow,Owned,Passive,Lighting,4,15.7,.,0,2,125213.7535,0,"£359,221 "
Cafe,Hospitality,Private,DonTKnow,Owned,Passive,Space heating,25.3,5,6,0,1,0,457020.5776,"£2,793,944 "
Cafe,Hospitality,Private,Large,Not Asked,Active,,.,.,.,0,1,.,., .
Cafe,Hospitality,Private,Large,Not Asked,Active,Air conditioning and cooling,16.7,1,.,0,2,71583.42158,0,"£83,456 "
Cafe,Hospitality,Private,Large,Not Asked,Active,Building fabric,21.3,5.5,5.5,0,3,159470.9984,0,"£339,511 "
Cafe,Hospitality,Private,Large,Not Asked,Active,Building instrumentation and control,6.1,20.2,24,0,3,372994.3804,0,"£145,295 "
Cafe,Hospitality,Private,Large,Not Asked,Active,Lighting,4,15.7,.,0,1,68313.9725,0,"£34,900 "
Cafe,Hospitality,Private,Large,Not Asked,Active,Refrigeration,3.7,38.6,.,0,1,684647.8176,0,"£390,992 "
Cafe,Hospitality,Private,Large,Not Asked,Active,Ventilation,27.1,4.2,.,0,1,1597.505618,0,"£34,900 "
Cafe,Hospitality,Private,Large,Rent,Active,,.,.,.,0,1,.,., .
Cafe,Hospitality,Private,Large,Rent,Active,Air conditioning and cooling,16.7,1,.,0,2,155163.1935,0,"£156,270 "
Cafe,Hospitality,Private,Large,Rent,Active,Building fabric,21.3,5.5,5.5,0,5,97273.99014,0,"£299,409 "
Cafe,Hospitality,Private,Large,Rent,Active,Building instrumentation and control,6.1,20.2,24,0,7,334659.5208,317735.8263,"£429,669 "
Cafe,Hospitality,Private,Large,Rent,Active,Building services distribution systems,16.1,1.1,.,0,1,33239.10764,0,"£204,847 "
Cafe,Hospitality,Private,Large,Rent,Active,Carbon and Energy Management,2.6,23.7,20.4,0,3,62581.54606,4467.324704,"£122,538 "
Cafe,Hospitality,Private,Large,Rent,Active,Hot water,5.5,4.9,4.2,0,2,72082.26393,72443.33667,"£52,277 "
Cafe,Hospitality,Private,Large,Rent,Active,Lighting,4,15.7,.,0,2,791832.4029,0,"£118,435 "
Cafe,Hospitality,Private,Large,Rent,Active,Refrigeration,3.7,38.6,.,0,2,556117.4776,0,"£211,456 "
Cafe,Hospitality,Private,Large,Rent,Active,Small appliances,11.4,4.5,3.7,0,2,57038.40826,49499.4427,"£116,545 "
Cafe,Hospitality,Private,Large,Rent,Active,Space heating,25.3,5,6,0,4,163401.5648,255535.5845,"£441,214 "
Cafe,Hospitality,Private,Large,Rent,Active,Ventilation,27.1,4.2,.,0,1,870.7954939,0,"£35,451 "
Cafe,Hospitality,Private,Large,Rent,None,,.,.,.,0,1,.,., .
Cafe,Hospitality,Private,Large,Rent,None,Air conditioning and cooling,16.7,1,.,0,1,17855.04688,0,"£31,482 "
Cafe,Hospitality,Private,Large,Rent,None,Building fabric,21.3,5.5,5.5,0,3,181403.8327,0,"£318,016 "
Cafe,Hospitality,Private,Large,Rent,None,Building instrumentation and control,6.1,20.2,24,0,5,521186.4611,0,"£161,672 "
Cafe,Hospitality,Private,Large,Rent,None,Building services distribution systems,16.1,1.1,.,0,1,118885.2388,0,"£179,755 "
Cafe,Hospitality,Private,Large,Rent,None,Carbon and Energy Management,2.6,23.7,20.4,0,4,396808.626,0,"£60,239 "
Cafe,Hospitality,Private,Large,Rent,None,Hot water,5.5,4.9,4.2,0,2,40190.06312,0,"£25,498 "
Cafe,Hospitality,Private,Large,Rent,None,Lighting,4,15.7,.,0,1,104771.426,0,"£44,592 "
Cafe,Hospitality,Private,Large,Rent,None,Small appliances,11.4,4.5,3.7,0,4,51700.59129,0,"£102,411 "
Cafe,Hospitality,Private,Large,Rent,None,Space heating,25.3,5,6,0,1,57803.4828,0,"£31,482 "
Cafe,Hospitality,Private,Large,Rent,None,Ventilation,27.1,4.2,.,0,1,2776.769867,0,"£19,748 "
Cafe,Hospitality,Private,Large,Rent,Passive,,.,.,.,0,2,.,., .
Cafe,Hospitality,Private,Large,Rent,Passive,Air conditioning and cooling,16.7,1,.,0,5,121792.4293,0,"£165,485 "
Cafe,Hospitality,Private,Large,Rent,Passive,Building fabric,21.3,5.5,5.5,0,2,88999.53425,0,"£107,606 "
Cafe,Hospitality,Private,Large,Rent,Passive,Building instrumentation and control,6.1,20.2,24,0,10,695344.4015,0,"£481,534 "
Cafe,Hospitality,Private,Large,Rent,Passive,Building services distribution systems,16.1,1.1,.,0,2,123610.0011,0,"£365,098 "
Cafe,Hospitality,Private,Large,Rent,Passive,Carbon and Energy Management,2.6,23.7,20.4,0,9,701287.7408,0,"£201,028 "
Cafe,Hospitality,Private,Large,Rent,Passive,Hot water,5.5,4.9,4.2,0,4,89586.63099,0,"£65,623 "
Cafe,Hospitality,Private,Large,Rent,Passive,Lighting,4,15.7,.,0,7,775875.5723,0,"£294,108 "
Cafe,Hospitality,Private,Large,Rent,Passive,Refrigeration,3.7,38.6,.,0,2,81904.79077,0,"£46,090 "
Cafe,Hospitality,Private,Large,Rent,Passive,Small appliances,11.4,4.5,3.7,0,2,73971.11323,0,"£98,496 "
Cafe,Hospitality,Private,Large,Rent,Passive,Space heating,25.3,5,6,0,3,111833.8124,0,"£111,316 "
Cafe,Hospitality,Private,Large,Rent,Passive,Ventilation,27.1,4.2,.,0,6,923528.9951,0,"£929,358 "
Cafe,Hospitality,Private,Medium,Owned,Active,,.,.,.,0,1,.,., .
Cafe,Hospitality,Private,Medium,Owned,Active,Building fabric,21.3,5.5,5.5,0,2,219527.0159,0,"£406,399 "
Cafe,Hospitality,Private,Medium,Owned,Active,Lighting,4,15.7,.,0,2,346904.2189,0,"£138,327 "
Cafe,Hospitality,Private,Medium,Owned,Active,Space heating,25.3,5,6,0,2,182076.4986,0,"£745,162 "
Cafe,Hospitality,Private,Medium,Owned,Active,Ventilation,27.1,4.2,.,0,3,31780.44995,0,"£272,819 "
Cafe,Hospitality,Private,Medium,Owned,None,,.,.,.,0,1,.,., .
Cafe,Hospitality,Private,Medium,Owned,None,Building fabric,21.3,5.5,5.5,0,4,0,95472.98703,"£217,784 "
Cafe,Hospitality,Private,Medium,Owned,None,Building instrumentation and control,6.1,20.2,24,0,7,630572.0448,1812799.017,"£652,179 "
Cafe,Hospitality,Private,Medium,Owned,None,Building services distribution systems,16.1,1.1,.,0,1,2044.2538,0,"£82,385 "
Cafe,Hospitality,Private,Medium,Owned,None,Carbon and Energy Management,2.6,23.7,20.4,0,5,1417820.242,2301944.97,"£283,856 "
Cafe,Hospitality,Private,Medium,Owned,None,Hot water,5.5,4.9,4.2,0,2,257362.7542,343010.2015,"£175,872 "
Cafe,Hospitality,Private,Medium,Owned,None,Lighting,4,15.7,.,0,2,710267.2357,0,"£106,832 "
Cafe,Hospitality,Private,Medium,Owned,None,Refrigeration,3.7,38.6,.,0,2,2683959.97,0,"£1,134,164 "
Cafe,Hospitality,Private,Medium,Owned,None,Small appliances,11.4,4.5,3.7,0,4,207122.946,305593.2074,"£412,697 "
Cafe,Hospitality,Private,Medium,Owned,None,Space heating,25.3,5,6,0,4,0,276019.637,"£497,729 "
Cafe,Hospitality,Private,Medium,Owned,None,Ventilation,27.1,4.2,.,0,1,1107.433162,0,"£39,992 "
Cafe,Hospitality,Private,Medium,Owned,Passive,,.,.,.,0,1,.,., .
Cafe,Hospitality,Private,Medium,Owned,Passive,Building fabric,21.3,5.5,5.5,0,4,344523.3921,0,"£621,822 "
Cafe,Hospitality,Private,Medium,Owned,Passive,Building instrumentation and control,6.1,20.2,24,0,3,853843.9368,1696030.722,"£424,026 "
Cafe,Hospitality,Private,Medium,Owned,Passive,Building services distribution systems,16.1,1.1,.,0,1,29138.32532,0,"£50,960 "
Cafe,Hospitality,Private,Medium,Owned,Passive,Carbon and Energy Management,2.6,23.7,20.4,0,3,778159.5406,1390335.053,"£180,741 "
Cafe,Hospitality,Private,Medium,Owned,Passive,Hot water,5.5,4.9,4.2,0,2,304515.8236,413130.2334,"£187,533 "
Cafe,Hospitality,Private,Medium,Owned,Passive,Lighting,4,15.7,.,0,2,184159.7823,0,"£112,876 "
Cafe,Hospitality,Private,Medium,Owned,Passive,Small appliances,11.4,4.5,3.7,0,1,283504.2317,359145.661,"£477,845 "
Cafe,Hospitality,Private,Medium,Owned,Passive,Space heating,25.3,5,6,0,4,244400.3611,92286.46451,"£528,139 "
Cafe,Hospitality,Private,Medium,Owned,Passive,Ventilation,27.1,4.2,.,0,2,13588.42967,0,"£101,922 "
Cafe,Hospitality,Private,Micro,Owned,Active,,.,.,.,0,2,.,., .
Cafe,Hospitality,Private,Micro,Owned,Active,Building fabric,21.3,5.5,5.5,0,5,0,615684.0777,"£700,440 "
Cafe,Hospitality,Private,Micro,Owned,Active,Building instrumentation and control,6.1,20.2,24,0,3,141116.4206,558158.234,"£388,694 "
Cafe,Hospitality,Private,Micro,Owned,Active,Building services distribution systems,16.1,1.1,.,0,1,25052.79964,0,"£73,851 "
Cafe,Hospitality,Private,Micro,Owned,Active,Carbon and Energy Management,2.6,23.7,20.4,0,2,45584.41823,95708.32098,"£70,640 "
Cafe,Hospitality,Private,Micro,Owned,Active,Hot water,5.5,4.9,4.2,0,2,48481.30586,100519.2414,"£89,906 "
Cafe,Hospitality,Private,Micro,Owned,Active,Lighting,4,15.7,.,0,5,359445.9443,0,"£303,679 "
Cafe,Hospitality,Private,Micro,Owned,Active,Small appliances,11.4,4.5,3.7,0,1,47511.67971,87684.91116,"£81,607 "
Cafe,Hospitality,Private,Micro,Owned,Active,Space heating,25.3,5,6,0,4,0,570119.1303,"£1,389,528 "
Cafe,Hospitality,Private,Micro,Owned,Active,Ventilation,27.1,4.2,.,0,11,531918.9479,0,"£2,383,893 "
Cafe,Hospitality,Private,Micro,Owned,None,,.,.,.,0,1,.,., .
Cafe,Hospitality,Private,Micro,Owned,None,Building fabric,21.3,5.5,5.5,0,6,0,852327.7735,"£511,523 "
Cafe,Hospitality,Private,Micro,Owned,None,Building instrumentation and control,6.1,20.2,24,0,4,445430.1218,1353747.669,"£454,313 "
Cafe,Hospitality,Private,Micro,Owned,None,Building services distribution systems,16.1,1.1,.,0,1,34602.91992,0,"£67,963 "
Cafe,Hospitality,Private,Micro,Owned,None,Carbon and Energy Management,2.6,23.7,20.4,0,4,440395.054,924633.0148,"£251,978 "
Cafe,Hospitality,Private,Micro,Owned,None,Hot water,5.5,4.9,4.2,0,2,172186.9548,234449.5134,"£127,138 "
Cafe,Hospitality,Private,Micro,Owned,None,Lighting,4,15.7,.,0,2,364737.9594,0,"£150,511 "
Cafe,Hospitality,Private,Micro,Owned,None,Refrigeration,3.7,38.6,.,0,2,1795686.775,0,"£720,865 "
Cafe,Hospitality,Private,Micro,Owned,None,Small appliances,11.4,4.5,3.7,0,4,152115.5806,203956.5084,"£307,602 "
Cafe,Hospitality,Private,Micro,Owned,None,Space heating,25.3,5,6,0,3,0,264801.3699,"£177,008 "
Cafe,Hospitality,Private,Micro,Owned,None,Ventilation,27.1,4.2,.,0,3,136414.4251,0,"£162,431 "
Cafe,Hospitality,Private,Micro,Owned,Passive,,.,.,.,0,7,.,., .
Cafe,Hospitality,Private,Micro,Owned,Passive,Air conditioning and cooling,16.7,1,.,0,10,460687.6227,0,"£870,191 "
Cafe,Hospitality,Private,Micro,Owned,Passive,Building fabric,21.3,5.5,5.5,0,31,1238345.529,498066.5405,"£3,159,998 "
Cafe,Hospitality,Private,Micro,Owned,Passive,Building instrumentation and control,6.1,20.2,24,0,31,4449521.2,1661120.401,"£2,868,726 "
Cafe,Hospitality,Private,Micro,Owned,Passive,Building services distribution systems,16.1,1.1,.,0,6,252307.5336,0,"£1,117,119 "
Cafe,Hospitality,Private,Micro,Owned,Passive,Carbon and Energy Management,2.6,23.7,20.4,0,29,6860330.206,1605520.858,"£1,607,439 "
Cafe,Hospitality,Private,Micro,Owned,Passive,Hot water,5.5,4.9,4.2,0,12,1162684.833,365659.7646,"£691,791 "
Cafe,Hospitality,Private,Micro,Owned,Passive,Lighting,4,15.7,.,0,15,4574269.123,0,"£1,198,091 "
Cafe,Hospitality,Private,Micro,Owned,Passive,Refrigeration,3.7,38.6,.,0,11,5317160.044,0,"£2,223,352 "
Cafe,Hospitality,Private,Micro,Owned,Passive,Small appliances,11.4,4.5,3.7,0,8,1032305.676,295079.2325,"£1,526,564 "
Cafe,Hospitality,Private,Micro,Owned,Passive,Space heating,25.3,5,6,0,18,1334387.64,961437.7299,"£2,857,086 "
Cafe,Hospitality,Private,Micro,Owned,Passive,Ventilation,27.1,4.2,.,0,17,231743.8785,0,"£1,586,020 "
Cafe,Hospitality,Private,Micro,Rent,Active,,.,.,.,0,8,.,., .
Cafe,Hospitality,Private,Micro,Rent,Active,Air conditioning and cooling,16.7,1,.,0,2,27167.49518,0,"£187,963 "
Cafe,Hospitality,Private,Micro,Rent,Active,Building fabric,21.3,5.5,5.5,0,18,898672.4885,1021011.924,"£2,613,084 "
Cafe,Hospitality,Private,Micro,Rent,Active,Building instrumentation and control,6.1,20.2,24,0,23,2257958.175,1763088.633,"£3,324,736 "
Cafe,Hospitality,Private,Micro,Rent,Active,Building services distribution systems,16.1,1.1,.,0,3,57213.88649,0,"£284,707 "
Cafe,Hospitality,Private,Micro,Rent,Active,Carbon and Energy Management,2.6,23.7,20.4,0,11,927475.8038,324007.5287,"£675,409 "
Cafe,Hospitality,Private,Micro,Rent,Active,Hot water,5.5,4.9,4.2,0,6,404197.1336,217675.989,"£351,714 "
Cafe,Hospitality,Private,Micro,Rent,Active,Lighting,4,15.7,.,0,15,1485740.252,0,"£1,026,473 "
Cafe,Hospitality,Private,Micro,Rent,Active,Refrigeration,3.7,38.6,.,0,6,2475774.969,0,"£968,282 "
Cafe,Hospitality,Private,Micro,Rent,Active,Small appliances,11.4,4.5,3.7,0,4,389859.6126,184686.3116,"£526,559 "
Cafe,Hospitality,Private,Micro,Rent,Active,Space heating,25.3,5,6,0,14,807389.5811,979276.696,"£2,734,190 "
Cafe,Hospitality,Private,Micro,Rent,Active,Ventilation,27.1,4.2,.,0,19,142667.2631,0,"£1,808,282 "
Cafe,Hospitality,Private,Micro,Rent,None,,.,.,.,0,2,.,., .
Cafe,Hospitality,Private,Micro,Rent,None,Building fabric,21.3,5.5,5.5,0,4,0,427801.9202,"£482,923 "
Cafe,Hospitality,Private,Micro,Rent,None,Building instrumentation and control,6.1,20.2,24,0,7,508862.6476,1275964.066,"£504,781 "
Cafe,Hospitality,Private,Micro,Rent,None,Building services distribution systems,16.1,1.1,.,0,2,69205.64858,0,"£144,551 "
Cafe,Hospitality,Private,Micro,Rent,None,Carbon and Energy Management,2.6,23.7,20.4,0,8,628221.376,674412.4618,"£285,006 "
Cafe,Hospitality,Private,Micro,Rent,None,Hot water,5.5,4.9,4.2,0,4,181468.4535,189053.0393,"£155,533 "
Cafe,Hospitality,Private,Micro,Rent,None,Lighting,4,15.7,.,0,5,745333.747,0,"£335,838 "
Cafe,Hospitality,Private,Micro,Rent,None,Refrigeration,3.7,38.6,.,0,3,992967.2353,0,"£453,854 "
Cafe,Hospitality,Private,Micro,Rent,None,Small appliances,11.4,4.5,3.7,0,9,233812.4095,168465.5371,"£433,164 "
Cafe,Hospitality,Private,Micro,Rent,None,Space heating,25.3,5,6,0,5,11928.98399,372703.1412,"£787,943 "
Cafe,Hospitality,Private,Micro,Rent,None,Ventilation,27.1,4.2,.,0,3,106711.1214,0,"£1,020,523 "
Cafe,Hospitality,Private,Micro,Rent,Passive,,.,.,.,0,13,.,., .
Cafe,Hospitality,Private,Micro,Rent,Passive,Air conditioning and cooling,16.7,1,.,0,3,51994.17651,0,"£342,326 "
Cafe,Hospitality,Private,Micro,Rent,Passive,Building fabric,21.3,5.5,5.5,0,40,1647892.87,1522396.131,"£5,063,108 "
Cafe,Hospitality,Private,Micro,Rent,Passive,Building instrumentation and control,6.1,20.2,24,0,47,4693849.92,6108119.886,"£5,475,979 "
Cafe,Hospitality,Private,Micro,Rent,Passive,Building services distribution systems,16.1,1.1,.,0,6,173816.7013,0,"£633,690 "
Cafe,Hospitality,Private,Micro,Rent,Passive,Carbon and Energy Management,2.6,23.7,20.4,0,39,7115332.867,6444470.3,"£3,638,129 "
Cafe,Hospitality,Private,Micro,Rent,Passive,Hot water,5.5,4.9,4.2,0,12,1025736.715,899316.1553,"£852,461 "
Cafe,Hospitality,Private,Micro,Rent,Passive,Lighting,4,15.7,.,0,29,3259228.964,0,"£1,966,842 "
Cafe,Hospitality,Private,Micro,Rent,Passive,Refrigeration,3.7,38.6,.,0,18,22798650.37,0,"£8,741,696 "
Cafe,Hospitality,Private,Micro,Rent,Passive,Small appliances,11.4,4.5,3.7,0,7,864423.6619,790684.046,"£1,533,494 "
Cafe,Hospitality,Private,Micro,Rent,Passive,Space heating,25.3,5,6,0,28,885044.1766,1094376.641,"£6,202,087 "
Cafe,Hospitality,Private,Micro,Rent,Passive,Ventilation,27.1,4.2,.,0,30,468062.9908,0,"£3,618,295 "
Cafe,Hospitality,Private,Small,Owned,Active,,.,.,.,0,2,.,., .
Cafe,Hospitality,Private,Small,Owned,Active,Air conditioning and cooling,16.7,1,.,0,2,66629.97657,0,"£84,436 "
Cafe,Hospitality,Private,Small,Owned,Active,Building fabric,21.3,5.5,5.5,0,5,122941.8532,0,"£406,273 "
Cafe,Hospitality,Private,Small,Owned,Active,Building instrumentation and control,6.1,20.2,24,0,9,480419.4189,0,"£524,635 "
Cafe,Hospitality,Private,Small,Owned,Active,Building services distribution systems,16.1,1.1,.,0,1,86797.39025,0,"£217,082 "
Cafe,Hospitality,Private,Small,Owned,Active,Carbon and Energy Management,2.6,23.7,20.4,0,2,8596.261309,0,"£21,854 "
Cafe,Hospitality,Private,Small,Owned,Active,Hot water,5.5,4.9,4.2,0,2,19862.13619,0,"£27,814 "
Cafe,Hospitality,Private,Small,Owned,Active,Lighting,4,15.7,.,0,5,533344.4636,0,"£258,850 "
Cafe,Hospitality,Private,Small,Owned,Active,Small appliances,11.4,4.5,3.7,0,1,16686.68057,0,"£21,894 "
Cafe,Hospitality,Private,Small,Owned,Active,Space heating,25.3,5,6,0,5,131337.5938,0,"£736,869 "
Cafe,Hospitality,Private,Small,Owned,Active,Ventilation,27.1,4.2,.,0,7,551452.4835,0,"£1,509,193 "
Cafe,Hospitality,Private,Small,Owned,Passive,,.,.,.,0,1,.,., .
Cafe,Hospitality,Private,Small,Owned,Passive,Building fabric,21.3,5.5,5.5,0,3,264205.0246,0,"£1,249,857 "
Cafe,Hospitality,Private,Small,Owned,Passive,Building instrumentation and control,6.1,20.2,24,0,2,1302813.07,2455955.589,"£659,151 "
Cafe,Hospitality,Private,Small,Owned,Passive,Building services distribution systems,16.1,1.1,.,0,1,23537.71656,0,"£201,731 "
Cafe,Hospitality,Private,Small,Owned,Passive,Carbon and Energy Management,2.6,23.7,20.4,0,3,1262703.372,2006313.177,"£409,377 "
Cafe,Hospitality,Private,Small,Owned,Passive,Hot water,5.5,4.9,4.2,0,2,499580.7106,583011.8981,"£394,417 "
Cafe,Hospitality,Private,Small,Owned,Passive,Lighting,4,15.7,.,0,2,156650.4752,0,"£302,597 "
Cafe,Hospitality,Private,Small,Owned,Passive,Small appliances,11.4,4.5,3.7,0,1,465109.6416,507825.2763,"£756,611 "
Cafe,Hospitality,Private,Small,Owned,Passive,Space heating,25.3,5,6,0,3,248787.2767,112664.7245,"£2,247,550 "
Cafe,Hospitality,Private,Small,Owned,Passive,Ventilation,27.1,4.2,.,0,3,25518.45714,0,"£734,565 "
Cafe,Hospitality,Private,Small,Rent,Active,,.,.,.,0,1,.,., .
Cafe,Hospitality,Private,Small,Rent,Active,Building fabric,21.3,5.5,5.5,0,2,244745.4033,0,"£526,258 "
Cafe,Hospitality,Private,Small,Rent,Active,Building instrumentation and control,6.1,20.2,24,0,4,813464.9573,123339.1067,"£314,845 "
Cafe,Hospitality,Private,Small,Rent,Active,Lighting,4,15.7,.,0,3,338387.4271,0,"£179,100 "
Cafe,Hospitality,Private,Small,Rent,Active,Space heating,25.3,5,6,0,3,817507.4386,123339.1067,"£470,872 "
Cafe,Hospitality,Private,Small,Rent,None,,.,.,.,0,1,.,., .
Cafe,Hospitality,Private,Small,Rent,None,Building instrumentation and control,6.1,20.2,24,0,1,85731.48878,0,"£32,431 "
Cafe,Hospitality,Private,Small,Rent,None,Carbon and Energy Management,2.6,23.7,20.4,0,3,564113.6759,598393.5511,"£199,114 "
Cafe,Hospitality,Private,Small,Rent,None,Lighting,4,15.7,.,0,3,387039.8265,0,"£161,282 "
Cafe,Hospitality,Private,Small,Rent,None,Refrigeration,3.7,38.6,.,0,2,1250131.262,0,"£490,523 "
Cafe,Hospitality,Private,Small,Rent,None,Small appliances,11.4,4.5,3.7,0,3,10869.59646,0,"£95,037 "
Cafe,Hospitality,Private,Small,Rent,None,Space heating,25.3,5,6,0,1,8315.954411,0,"£79,198 "
Cafe,Hospitality,Private,Small,Rent,None,Ventilation,27.1,4.2,.,0,3,43647.02118,0,"£173,030 "
Cafe,Hospitality,Private,Small,Rent,Passive,,.,.,.,0,1,.,., .
Cafe,Hospitality,Private,Small,Rent,Passive,Building fabric,21.3,5.5,5.5,0,2,0,262531.5029,"£97,953 "
Cafe,Hospitality,Private,Small,Rent,Passive,Building instrumentation and control,6.1,20.2,24,0,4,1624934.772,4309091.731,"£753,168 "
Cafe,Hospitality,Private,Small,Rent,Passive,Building services distribution systems,16.1,1.1,.,0,1,31792.69208,0,"£66,320 "
Cafe,Hospitality,Private,Small,Rent,Passive,Carbon and Energy Management,2.6,23.7,20.4,0,3,1547924.221,3053219.202,"£311,793 "
Cafe,Hospitality,Private,Small,Rent,Passive,Hot water,5.5,4.9,4.2,0,2,634344.4022,802028.8574,"£349,050 "
Cafe,Hospitality,Private,Small,Rent,Passive,Lighting,4,15.7,.,0,2,361402.0872,0,"£124,948 "
Cafe,Hospitality,Private,Small,Rent,Passive,Small appliances,11.4,4.5,3.7,0,1,590574.6385,703243.4027,"£983,228 "
Cafe,Hospitality,Private,Small,Rent,Passive,Space heating,25.3,5,6,0,3,0,489575.5384,"£343,170 "
Cafe,Hospitality,Private,Small,Rent,Passive,Ventilation,27.1,4.2,.,0,4,964406.7578,0,"£1,258,057 "
Clubs & community centres,"Community, Arts and Leisure",Private,DonTKnow,Owned,Active,,.,.,.,0,1,.,., .
Clubs & community centres,"Community, Arts and Leisure",Private,DonTKnow,Owned,Active,Building fabric,12.3,14.9,148.1,0,2,1327718.519,0,"£2,141,172 "
Clubs & community centres,"Community, Arts and Leisure",Private,DonTKnow,Owned,Active,Building instrumentation and control,4.2,27.6,135.6,0,2,1826482.824,0,"£434,344 "
Clubs & community centres,"Community, Arts and Leisure",Private,DonTKnow,Owned,Active,Carbon and Energy Management,2.6,74.3,125.4,0,1,639.9726589,0,"£117,486 "
Clubs & community centres,"Community, Arts and Leisure",Private,DonTKnow,Owned,Active,Lighting,3.4,100.6,.,0,2,1096888.37,0,"£437,242 "
Clubs & community centres,"Community, Arts and Leisure",Private,DonTKnow,Owned,Active,Space heating,12,22,174,0,2,1392599.366,0,"£450,585 "
Clubs & community centres,"Community, Arts and Leisure",Private,Large,Owned,Active,,.,.,.,0,1,.,., .
Clubs & community centres,"Community, Arts and Leisure",Private,Large,Owned,Active,Air conditioning and cooling,16.9,7.5,.,0,3,341224.7258,0,"£855,810 "
Clubs & community centres,"Community, Arts and Leisure",Private,Large,Owned,Active,Building fabric,12.3,14.9,148.1,0,5,0,4801208.731,"£1,787,560 "
Clubs & community centres,"Community, Arts and Leisure",Private,Large,Owned,Active,Building instrumentation and control,4.2,27.6,135.6,0,3,830837.4922,4068580.256,"£1,072,114 "
Clubs & community centres,"Community, Arts and Leisure",Private,Large,Owned,Active,Building services distribution systems,14.8,6.5,.,0,1,414114.9893,0,"£604,695 "
Clubs & community centres,"Community, Arts and Leisure",Private,Large,Owned,Active,Carbon and Energy Management,2.6,74.3,125.4,0,4,2845113.103,6012572.098,"£1,154,873 "
Clubs & community centres,"Community, Arts and Leisure",Private,Large,Owned,Active,Hot water,11.1,3.1,24.5,0,3,300632.6321,537455.7753,"£411,353 "
Clubs & community centres,"Community, Arts and Leisure",Private,Large,Owned,Active,Lighting,3.4,100.6,.,0,2,2198868.091,0,"£759,052 "
Clubs & community centres,"Community, Arts and Leisure",Private,Large,Owned,Active,Refrigeration,4.7,126.5,.,0,4,4743273.001,0,"£2,121,861 "
Clubs & community centres,"Community, Arts and Leisure",Private,Large,Owned,Active,Small appliances,16.9,1.9,2.7,0,1,225649.4423,337445.0005,"£475,682 "
Clubs & community centres,"Community, Arts and Leisure",Private,Large,Owned,Active,Space heating,12,22,174,0,4,0,4117699.916,"£2,153,632 "
Clubs & community centres,"Community, Arts and Leisure",Private,Large,Owned,Active,Ventilation,9.2,31.9,1.4,0,1,531298.7122,0,"£275,866 "
Clubs & community centres,"Community, Arts and Leisure",Private,Micro,Owned,Active,,.,.,.,0,16,.,., .
Clubs & community centres,"Community, Arts and Leisure",Private,Micro,Owned,Active,Air conditioning and cooling,16.9,7.5,.,0,14,3315220.126,0,"£4,141,929 "
Clubs & community centres,"Community, Arts and Leisure",Private,Micro,Owned,Active,Building fabric,12.3,14.9,148.1,0,61,3590597.774,35137082.85,"£22,419,019 "
Clubs & community centres,"Community, Arts and Leisure",Private,Micro,Owned,Active,Building instrumentation and control,4.2,27.6,135.6,0,28,8022405.399,37745443.45,"£6,499,472 "
Clubs & community centres,"Community, Arts and Leisure",Private,Micro,Owned,Active,Building services distribution systems,14.8,6.5,.,0,7,778534.5866,0,"£2,829,321 "
Clubs & community centres,"Community, Arts and Leisure",Private,Micro,Owned,Active,Carbon and Energy Management,2.6,74.3,125.4,0,37,14521528.57,17954444.01,"£4,842,671 "
Clubs & community centres,"Community, Arts and Leisure",Private,Micro,Owned,Active,Hot water,11.1,3.1,24.5,0,27,806338.9709,3320389.563,"£2,349,969 "
Clubs & community centres,"Community, Arts and Leisure",Private,Micro,Owned,Active,Lighting,3.4,100.6,.,0,37,16793291.62,0,"£7,977,166 "
Clubs & community centres,"Community, Arts and Leisure",Private,Micro,Owned,Active,Refrigeration,4.7,126.5,.,0,14,30278874.35,0,"£14,078,060 "
Clubs & community centres,"Community, Arts and Leisure",Private,Micro,Owned,Active,Small appliances,16.9,1.9,2.7,0,7,508726.5201,635783.1836,"£1,031,754 "
Clubs & community centres,"Community, Arts and Leisure",Private,Micro,Owned,Active,Space heating,12,22,174,0,56,6078869.834,52461196.8,"£24,948,663 "
Clubs & community centres,"Community, Arts and Leisure",Private,Micro,Owned,Active,Ventilation,9.2,31.9,1.4,0,46,12744659.56,616413.8971,"£14,055,823 "
Clubs & community centres,"Community, Arts and Leisure",Private,Micro,Owned,None,,.,.,.,0,1,.,., .
Clubs & community centres,"Community, Arts and Leisure",Private,Micro,Owned,None,Air conditioning and cooling,16.9,7.5,.,0,2,195734.3801,0,"£666,835 "
